Date,Home Price Affordability Median HHI,Home Price Affordability 25% HHI,Home Price Affordability 75% HHI,Median Home Price
1971-04-15,0.78,1.5,0.51,25807.94
1971-05-15,0.79,1.52,0.51,25996.93
1971-06-15,0.8,1.54,0.52,26269.92
1971-07-15,0.81,1.56,0.53,26311.92
1971-08-15,0.81,1.55,0.53,26395.91
1971-09-15,0.8,1.54,0.52,26458.91
1971-10-15,0.8,1.54,0.52,26542.91
1971-11-15,0.8,1.53,0.52,26752.9
1971-12-15,0.79,1.52,0.51,26815.9
1972-01-15,0.78,1.5,0.5,26899.89
1972-02-15,0.77,1.49,0.5,26962.89
1972-03-15,0.76,1.47,0.49,26941.89
1972-04-15,0.77,1.48,0.49,26983.89
1972-05-15,0.77,1.48,0.49,27067.88
1972-06-15,0.77,1.49,0.5,27235.88
1972-07-15,0.78,1.5,0.5,27508.87
1972-08-15,0.78,1.5,0.5,27613.86
1972-09-15,0.77,1.48,0.49,27592.86
1972-10-15,0.76,1.47,0.49,27571.86
1972-11-15,0.76,1.48,0.49,27592.86
1972-12-15,0.76,1.47,0.49,27613.86
1973-01-15,0.74,1.44,0.48,27550.86
1973-02-15,0.74,1.44,0.47,27550.86
1973-03-15,0.74,1.44,0.48,27571.86
1973-04-15,0.74,1.44,0.47,27571.86
1973-05-15,0.75,1.45,0.48,27634.86
1973-06-15,0.75,1.45,0.48,27697.86
1973-07-15,0.77,1.49,0.49,27676.86
1973-08-15,0.8,1.55,0.51,27928.85
1973-09-15,0.8,1.55,0.51,28033.84
1973-10-15,0.79,1.54,0.51,28243.84
1973-11-15,0.79,1.53,0.51,28369.83
1973-12-15,0.79,1.54,0.51,28558.82
1974-01-15,0.79,1.52,0.5,28789.81
1974-02-15,0.79,1.51,0.5,29020.8
1974-03-15,0.79,1.52,0.51,29335.79
1974-04-15,0.81,1.55,0.52,29440.79
1974-05-15,0.82,1.57,0.52,29587.78
1974-06-15,0.82,1.58,0.52,29755.77
1974-07-15,0.84,1.62,0.54,29902.77
1974-08-15,0.87,1.66,0.55,30175.76
1974-09-15,0.87,1.67,0.56,30469.74
1974-10-15,0.87,1.67,0.55,30721.73
1974-11-15,0.87,1.66,0.55,30952.72
1974-12-15,0.87,1.66,0.55,31435.7
1975-01-15,0.88,1.71,0.55,32033.5
1975-02-15,0.86,1.68,0.54,32086.75
1975-03-15,0.85,1.65,0.54,32169.16
1975-04-15,0.85,1.65,0.54,32222.41
1975-05-15,0.85,1.66,0.54,32318.77
1975-06-15,0.84,1.64,0.53,32298.49
1975-07-15,0.84,1.65,0.53,32472.18
1975-08-15,0.85,1.66,0.54,32664.89
1975-09-15,0.86,1.67,0.54,32994.54
1975-10-15,0.87,1.69,0.55,33239.23
1975-11-15,0.86,1.68,0.54,33475.05
1975-12-15,0.86,1.68,0.54,33570.14
1976-01-15,0.83,1.62,0.52,33693.12
1976-02-15,0.82,1.6,0.52,33757.78
1976-03-15,0.83,1.61,0.52,34054.46
1976-04-15,0.83,1.62,0.52,34395.51
1976-05-15,0.84,1.63,0.53,34801.22
1976-06-15,0.84,1.64,0.53,34908.99
1976-07-15,0.85,1.66,0.54,35196.79
1976-08-15,0.85,1.66,0.54,35426.27
1976-09-15,0.84,1.64,0.53,35681.11
1976-10-15,0.84,1.63,0.53,35797.75
1976-11-15,0.83,1.62,0.52,36005.68
1976-12-15,0.84,1.63,0.53,36304.89
1977-01-15,0.83,1.63,0.52,36606.64
1977-02-15,0.84,1.63,0.52,37036.44
1977-03-15,0.85,1.65,0.53,37566.4
1977-04-15,0.86,1.68,0.54,38234.56
1977-05-15,0.87,1.7,0.54,38707.47
1977-06-15,0.88,1.71,0.55,39000.34
1977-07-15,0.88,1.72,0.55,39402.25
1977-08-15,0.89,1.74,0.56,39801.62
1977-09-15,0.88,1.73,0.55,40322.71
1977-10-15,0.89,1.74,0.55,40829.85
1977-11-15,0.9,1.75,0.56,41252.04
1977-12-15,0.91,1.78,0.57,41624.79
1978-01-15,0.88,1.74,0.55,42044.45
1978-02-15,0.89,1.76,0.56,42516.09
1978-03-15,0.91,1.79,0.57,43108.18
1978-04-15,0.92,1.82,0.58,43673.64
1978-05-15,0.95,1.87,0.6,44273.33
1978-06-15,0.96,1.89,0.6,44940.22
1978-07-15,0.97,1.91,0.61,45572.88
1978-08-15,0.98,1.94,0.62,46173.84
1978-09-15,0.97,1.92,0.61,46658.16
1978-10-15,0.98,1.94,0.62,47110.78
1978-11-15,1.02,2.01,0.64,47605.24
1978-12-15,1.03,2.03,0.65,48169.44
1979-01-15,1.03,2,0.64,48813.5
1979-02-15,1.03,2.01,0.65,49427.14
1979-03-15,1.05,2.03,0.65,50082.62
1979-04-15,1.07,2.07,0.67,50733.03
1979-05-15,1.09,2.11,0.68,51391.04
1979-06-15,1.12,2.18,0.7,52041.45
1979-07-15,1.12,2.18,0.7,52624.66
1979-08-15,1.14,2.21,0.71,53154.62
1979-09-15,1.14,2.22,0.71,53604.71
1979-10-15,1.2,2.33,0.75,54080.15
1979-11-15,1.27,2.46,0.79,54468.12
1979-12-15,1.27,2.46,0.79,54796.49
1980-01-15,1.26,2.46,0.78,55074.15
1980-02-15,1.31,2.56,0.82,55392.38
1980-03-15,1.5,2.93,0.93,55865.29
1980-04-15,1.53,2.98,0.95,56388.91
1980-05-15,1.29,2.53,0.8,56788.28
1980-06-15,1.23,2.4,0.76,57133.14
1980-07-15,1.22,2.38,0.76,57529.97
1980-08-15,1.28,2.5,0.79,57865.95
1980-09-15,1.3,2.54,0.81,58147.42
1980-10-15,1.34,2.61,0.83,58387.04
