Rank,Region Name,State Name,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2000,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2001,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2002,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2003,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2004,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2005,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2006,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2007,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2008,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2009,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2010,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2011,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2012,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2013,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2014,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2015,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2016,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2017,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2018,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2019,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2020,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2021,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022
1,"New York, NY",NY,225516,226863,228076,230462,232684,235050,237536,240109,242690,245244,247698,249997,236827.0833,252209,254643,257023,259508,261864,264411,266888,269568,272282,275276,278033,280694,266033.25,283381,285999,288548,291007,293607,296557,299733,303657,307766,311870,315509,319191,299735.4167,322895,326702,330784,334582,338459,342174,346104,349887,353333,356546,359548,362475,343624.0833,365763,369042,372553,375937,379981,384303,389094,393874,398831,403743,408378,412620,387843.25,416629,420600,424736,429679,434951,440148,444930,449735,454632,459650,464065,468409,442347,472116,476005,479071,481906,484297,486627,488096,488544,487998,486632,484906,483025,483268.5833,481360,480203,480261,480054,479828,478212,476357,474508,472517,471260,469772,468350,476056.8333,467011,465516,463482,461249,457903,454869,451445,448448,445207,441650,437953,434528,452438.4167,430856,427384,424036,420765,418108,415281,412725,409862,407731,406126,405212,404635,415226.75,404526,404819,404637,404591,404284,404870,405280,405333,404560,403041,401177,399039,403846.4167,397671,396578,396077,394916,393685,391864,390204,388509,386895,385241,383434,381885,390579.9167,380453,379155,378085,377378,377109,377078,376867,376535,376154,375861,376019,376449,377261.9167,377116,378013,379129,380864,382860,384778,386502,387977,389539,391257,393061,394639,385477.9167,396513,398201,400173,401899,403610,405024,405878,406488,407005,407487,407910,408560,404062.3333,409266,410277,410986,412211,413318,414602,415311,415675,416092,416588,417844,418790,414246.6667,419547,420168,421267,422963,424551,425800,426764,427614,428557,429686,430983,432412,425859.3333,434307,435955,438057,439768,442367,444609,446977,448887,450730,452448,454114,455817,445336.3333,457946,460564,463521,466559,468942,470602,471314,472019,473203,474904,476757,478326,469554.75,479344,480224,481125,482132,482821,483019,482987,482713,482246,481707,481410,481951,481806.5833,482985,484468,485893,487391,488204,488763,489984,492585,497110,502622,508677,514528,493600.8333,519394,524157,528546,533312,538853,546056,554029,561665,567599,572173,575746,579000,550044.1667,582977,587634,594089,601248,608793,614826,598261.1667
2,"Los Angeles-Long Beach-Anaheim, CA",CA,231193,231998,233231,235575,238089,240462,242893,245444,247873,250096,252152,254319,241943.75,255984,257787,259709,262388,265015,267438,269916,272500,275179,277835,280149,282583,268873.5833,284591,286957,289774,293359,297435,301594,306828,312281,317830,322786,327708,332570,306142.75,336664,340445,344629,349306,355134,359744,365763,372051,379508,385657,391635,397608,364845.3333,404636,412340,421070,431112,443427,455553,466303,475174,484106,492892,498692,504657,457496.8333,509975,517378,525149,533134,540819,548036,556530,565578,574872,584314,590693,597291,553647.4167,602876,608332,613297,617447,622672,626611,627858,629289,627519,627671,626448,626492,621376,626652,626349,625255,623326,619855,616651,610695,604245,596336,588847,583199,576104,608126.1667,569761,560204,549763,535728,521364,508119,496098,485480,477950,470467,462386,451637,507413.0833,443967,439803,436826,433794,430781,427103,424569,422903,423006,423677,426572,431375,430364.6667,433313,432798,433063,436014,439760,439001,436413,431706,427586,423483,419760,418436,430944.4167,417721,418122,416359,414588,409669,408464,407272,405290,400881,396778,396330,396554,407335.6667,395934,395195,394518,395032,396114,397789,400385,402426,404822,408491,412856,419302,401905.3333,425637,434850,443878,453733,461844,470307,477684,485445,491968,497151,502887,507945,471110.75,513628,516105,517079,516368,516393,516534,517380,515940,515481,515967,519152,522932,516913.25,527525,532463,536325,537736,539647,541610,542804,544217,546234,550543,553907,559726,542728.0833,563637,567910,569694,572922,576053,578958,579708,581335,583595,588152,591883,594711,579046.5,599165,602225,605582,607152,610332,614101,615656,617357,619558,624330,630260,635442,615096.6667,640354,645528,650554,655102,657653,660519,660951,661828,662278,665536,667389,666878,657880.8333,665718,663568,662225,661795,662763,663780,662845,663570,666283,670584,672596,674407,665844.5,677382,683480,690441,695564,693655,690755,692496,701667,712282,722246,729736,736072,702148,741208,748697,756568,767613,783280,803088,823990,837436,846547,851306,858511,867810,807171.1667,878593,890931,908424,927686,944296,945642,915928.6667
3,"Chicago, IL",IL,171271,171675,172198,173245,174354,175453,176670,178034,179444,180831,182091,183323,176549.0833,184477,185498,186656,187794,189196,190494,191804,193131,194470,195902,197091,198165,191223.1667,199082,200150,201438,202520,203733,204843,206330,207850,209320,210671,211638,212806,205865.0833,213933,215301,216532,217941,219152,220259,221285,222604,224090,225496,226740,227854,220932.25,229205,230490,231809,233288,234919,236810,238517,240258,241725,243265,244801,246556,237636.9167,248174,249896,251576,253502,255505,257548,259422,261203,263120,265001,266620,268175,258311.8333,269684,271179,272696,274006,275451,276275,276974,277440,277802,277955,278037,278305,275483.6667,278891,279449,279815,279757,279436,278935,278274,277577,276472,275392,274359,273109,277622.1667,271846,,,265447,,262093,261108,257673,255575,251835,248846,244854,257697.4444,240456,237392,234154,232870,230578,229187,227578,226124,223625,221418,219248,218602,228436,217469,217175,215646,216233,215452,216217,213663,212255,209491,207762,204810,202276,212370.75,199980,198201,197073,195478,194783,193312,192877,191490,190330,187853,186425,184139,192661.75,183038,180877,180728,180402,180863,180739,179917,179083,178107,178459,178852,179166,180019.25,179904,180990,181985,183296,184545,186646,188334,190412,192028,194222,195207,196560,187844.0833,197308,198819,199603,200071,200749,201860,202743,202957,203289,203546,204007,204543,201624.5833,205041,205681,206587,207880,208851,208899,208864,208687,208706,208698,208929,209788,208050.9167,210880,212711,214061,215035,215501,215873,216504,216958,217419,217929,218961,220471,216025.25,222342,224047,225854,227151,228122,228268,228347,228508,229163,230073,231220,232666,227980.0833,234278,235641,236447,236934,237390,237826,238240,238541,239193,239699,240479,241101,237980.75,241639,242385,242854,243364,243423,243350,243310,243240,243237,243128,243136,243350,243034.6667,243834,244446,244979,245107,244939,244909,245927,247603,250506,253382,256202,258442,248356.3333,259983,262322,264451,267513,270285,274132,278327,282472,285566,288245,290960,293700,276496.3333,296355,298940,302259,305752,309745,312752,304300.5
4,"Dallas-Fort Worth, TX",TX,131555,131660,131748,131961,132186,132373,132574,132944,133404,133939,134428,134926,132808.1667,135141,134816,134532,134412,134632,134700,134772,135070,135300,135504,135553,135702,135011.1667,135844,136141,136518,137067,137568,138261,138880,139525,139985,140406,140801,141168,138513.6667,141441,141585,141775,141974,142158,142354,142418,142587,142759,143034,143247,143258,142382.5,144026,145532,,149892,150959,151310,151452,151839,152185,152558,152791,152969,150501.1818,153694,154034,154429,154576,155047,155522,155793,156114,156451,156458,156560,156412,155424.1667,156427,156661,156983,157597,158257,158891,159219,159334,159572,160349,160832,161347,158789.0833,160997,160553,160087,160299,160779,161208,161580,161985,162573,162913,163117,163282,161614.4167,162292,161004,159422,158843,158437,158158,158028,157464,156568,155424,154558,153997,157849.5833,153571,153623,153781,154101,154303,154256,154311,154066,154029,153921,154447,154839,154104,154795,154533,154301,154657,154788,154838,154273,153443,152380,151467,150529,150008,153334.3333,149576,149066,148571,147867,147470,146882,146807,146659,146727,146587,146419,146014,147387.0833,145714,146103,146693,147382,147848,148431,149165,149604,149973,150299,150978,151660,148654.1667,152462,153153,154114,155092,156181,157302,158491,159437,160486,161656,163063,164316,157979.4167,165281,166352,167330,168306,169211,170314,171072,171820,172353,173358,174645,176111,170512.75,177730,179305,181042,182784,184600,186420,188197,189380,190452,191641,193313,195230,186674.5,196889,198612,200157,201997,203938,205800,207712,209067,210540,212087,214075,216183,206421.4167,218012,219912,221371,223028,224526,226118,227418,228707,230335,232183,234035,235690,226777.9167,237518,239537,241512,243066,244240,245376,246368,247592,248615,249709,250770,252096,245533.25,253821,254965,255611,255655,255779,255781,255855,256558,257726,258289,258542,258437,256418.25,259448,260401,261669,262288,262705,263317,264380,266755,269375,272502,274906,277528,266272.8333,279871,283279,287335,292909,299381,306770,314646,322615,329869,336001,341515,347444,311802.9167,354921,363495,371655,381221,389992,397605,376481.5
5,"Philadelphia, PA",PA,130664,131102,131365,132019,132548,133147,133696,134281,134930,135603,136215,136756,133527.1667,137304,137964,138721,139507,140235,141001,141883,142857,143895,144838,145839,146614,141721.5,147440,148221,149219,150336,151478,152765,154118,155839,157658,159469,160982,162523,154170.6667,163954,165401,166742,168290,170016,171905,173945,176067,178212,180143,181945,183458,173339.8333,184949,186392,188055,189931,192220,194847,197804,200963,203775,206118,208067,210252,196947.75,212636,214700,216654,218704,221436,224506,227730,230795,233591,236346,238734,240966,226399.8333,242574,244167,245728,247592,249449,251167,252558,253455,253914,254144,254117,253927,250232.6667,253591,253544,254057,254635,255490,255849,256069,255562,254907,254459,254062,253563,254649,252582,252215,252096,252247,251530,250282,248519,246693,244736,242890,241254,239762,247900.5,238372,237414,237003,236775,236231,235355,234165,233068,232010,231584,231537,231622,234594.6667,231802,231838,232024,232234,232565,232706,232242,231069,229351,227450,225557,224052,230240.8333,222927,222243,221622,220657,219264,217623,216143,214949,213775,212698,211716,210985,217050.1667,210221,209502,209209,209191,209132,208645,207947,207269,206859,206532,206450,206372,208110.75,206671,206994,207550,208166,209074,210018,210919,211490,212108,212552,213125,213471,210178.1667,214063,214635,215010,214859,214874,215046,215331,215197,215021,214944,215121,215450,214962.5833,215774,216032,216388,216894,217173,217272,217317,217582,217791,217817,217795,217809,217137,218068,218444,218728,219144,219572,220335,220847,221386,221824,222525,223248,224261,220698.5,225354,226284,226964,227548,228187,228673,229008,229495,230159,231188,232225,233370,229037.9167,234298,235521,236999,238512,239499,240009,240483,241019,241819,242557,243618,244630,239913.6667,245672,246426,247294,247954,248589,248816,249251,249703,250180,250596,251105,251989,248964.5833,252921,253927,254433,255466,256283,257611,259242,261868,265047,268749,272289,275992,261152.3333,279242,282379,285497,288843,293221,298084,302643,306287,309169,311638,314135,316430,298964,318994,321556,324826,328526,332874,336380,327192.6667
6,"Houston, TX",TX,126519,126597,126478,126596,126604,126806,126936,127215,127572,127807,128327,128803,127188.3333,129054,129035,128577,128378,128320,128514,128678,128568,128664,128817,129038,129152,128732.9167,129286,129523,130076,130709,131311,131817,132327,132983,133518,133937,134214,134461,132013.5,134843,135169,135575,135811,136049,136248,136465,136726,136886,137089,137235,137480,136298,137952,139059,,142182,143510,143890,144881,145393,146242,146903,147559,148329,144172.7273,149022,149741,150281,150719,150912,151149,151255,151271,151208,151090,151248,151303,150766.5833,151474,151437,151652,151958,152641,153162,153752,154262,154920,155660,156281,156968,153680.5833,157294,157293,157086,157318,157852,158567,158969,159443,159781,160130,160340,160598,158722.5833,160086,159569,158968,158936,158696,158390,158124,157482,156670,155914,155008,154073,157659.6667,153089,152978,153008,153251,153494,153978,154563,154693,154485,154015,154015,154222,153815.9167,154220,154322,154672,155261,155635,155432,154581,153206,152060,151238,150742,150236,153467.0833,149659,149026,148165,147530,147038,146758,146637,146556,146355,146064,145191,144616,146966.25,144424,144789,145384,145795,146313,146648,147199,147699,148037,148064,148360,148701,146784.4167,149513,150502,152134,153843,155447,156705,157984,159326,160682,162091,163397,164623,157187.25,166018,167499,168739,169655,170490,171759,173139,174745,176290,177715,179054,180451,172962.8333,182009,183455,185081,186505,187910,189040,189764,190247,190742,191656,192517,193319,188520.4167,194340,195232,195786,195985,196569,197284,197980,198243,198503,198801,199759,200852,197444.5,201520,202050,202575,203271,203719,204180,204457,204696,205015,205614,206366,207068,204210.9167,207741,208233,208741,209697,210710,211623,212197,213109,214089,215108,215895,216599,211978.5,217574,218418,218910,218934,219032,219461,219936,220381,220687,221418,222150,222801,219975.1667,222751,222981,223582,224616,225210,225623,226080,227120,229046,231208,233616,235870,227308.5833,238190,240826,242733,245196,248375,253654,259481,265503,270390,274697,277870,281297,258184.3333,284760,289080,294445,300457,306044,310239,297504.1667
7,"Washington, DC",DC,193180,193427,193806,194612,195732,196962,198496,200151,201808,203466,205085,206978,198641.9167,208647,210170,211801,213860,216219,218607,221026,223520,225949,228240,230549,232844,220119.3333,234935,236896,239032,241630,244617,247849,251349,255008,258467,261598,264335,267042,250229.8333,269410,272193,275116,278456,281750,285250,288885,292464,296117,299777,303206,306363,287415.5833,309297,312927,317023,322073,327794,334346,341852,349356,356913,362918,368158,373352,339667.4167,379327,385224,391411,398770,407376,415775,423471,430206,436829,442708,447389,451679,417513.75,455355,459213,463152,466446,468921,469794,470062,469526,467230,464078,461607,460110,464624.5,458832,457481,456296,455778,454515,451805,448233,444562,441649,438055,434149,429515,447572.5,425329,420703,415351,409441,402662,396332,389717,383703,377444,371972,367284,363372,393609.1667,358939,354656,350620,347418,345459,344020,342570,340753,338725,337627,337606,338831,344768.6667,340643,341595,342909,344284,346052,346289,345271,343540,342112,340892,339462,338475,342627,338105,338930,339298,339448,338509,338027,336782,335681,334094,333131,333221,333370,336549.6667,333669,334194,335801,337322,338418,339383,340457,341317,342033,343584,346078,348856,340092.6667,351831,354543,357105,359301,361528,363443,365342,367309,370235,373118,376070,377954,364814.9167,379797,381747,383440,384626,384435,383956,383592,383099,383141,383285,383756,384060,383244.5,383850,384536,385319,385612,385329,384915,384709,384286,384216,384842,385598,386652,384988.6667,387502,387770,387936,388709,390082,390909,391307,391569,392649,393737,395013,396514,391141.4167,398609,401267,402676,403423,402939,403269,403653,405003,406366,408243,410153,411396,404749.75,412302,413250,414804,416477,418119,419568,420709,421531,422274,423325,424297,425953,419384.0833,427656,429608,430895,431676,431973,432228,432148,433017,434314,436304,438102,439529,433120.8333,440539,441660,442993,444919,445996,447609,450269,454362,459075,463729,468611,473264,452752.1667,477793,482632,488461,495299,502517,509299,514354,517965,520427,523310,526230,529647,507327.8333,533439,538507,544142,549575,553983,556296,545990.3333
8,"Miami-Fort Lauderdale, FL",FL,125671,126134,126548,127364,128034,128715,129428,130181,130978,131761,132613,133530,129246.4167,134408,135349,136479,137740,139198,140666,142394,144311,146318,148363,150108,151750,142257,153217,154653,156004,157493,159060,160723,162483,164507,166402,168222,169815,171875,162037.8333,173912,176049,178211,180519,182911,185077,187214,189436,191854,194224,196547,198571,186210.4167,200905,203071,205561,208040,211287,214854,218743,222833,226946,230994,234729,238822,218065.4167,242731,247012,251642,256784,262579,268752,275633,282261,288645,294179,299054,303421,272724.4167,307793,311649,316037,321564,326980,331643,334387,336292,337318,337573,338108,338043,328115.5833,337520,336634,334727,332383,329405,326291,322591,318543,314138,310435,305689,301188,322462,294851,289261,282383,276643,270354,265033,258752,251913,244570,237307,230707,224834,260550.6667,219406,214719,209780,205349,200568,196798,193355,190544,187942,186135,184743,183255,197716.1667,182362,181923,182026,181729,180993,179534,178102,176528,175171,173219,171639,170216,177786.8333,168889,167659,166562,165855,164875,163767,162637,161954,161589,161503,161621,161721,164052.6667,162125,162192,162648,163071,163889,164740,165652,166996,168689,170400,171875,173457,166311.1667,175633,178184,180954,183843,186591,188762,191240,193894,197015,199936,203519,207010,190548.4167,210400,212668,214759,215769,217271,218436,220347,221786,223304,224940,225986,227439,219425.4167,228621,230401,231482,232682,233625,234846,235850,237061,238644,240120,242056,243827,235767.9167,245778,247316,248517,249759,251108,252999,254976,256698,257993,259367,260989,262852,254029.3333,264324,265620,266448,267683,268914,270257,271453,273033,274485,276272,277347,278824,271221.6667,279732,281425,283235,284829,286534,288003,289727,290815,291667,292432,294338,296005,288228.5,297656,297834,298379,298786,299068,299592,299900,300021,299950,300535,301292,301718,299560.9167,302466,304525,306468,308105,309129,309962,310604,311972,314291,317047,319589,322628,311398.8333,325952,328982,332831,336489,342205,348453,355850,363288,371434,379642,387320,394586,355586,402632,410239,420478,431182,444697,456489,427619.5
9,"Atlanta, GA",GA,154331,154844,155373,156442,157487,158520,159494,160552,161623,162774,163791,164901,159177.6667,165903,166893,167740,168553,169394,170179,170948,171728,172517,173286,173992,174694,170485.5833,175361,176065,176664,177290,177799,178311,178716,179141,179575,180052,180465,180803,178353.5,181150,181481,181884,182219,182544,182838,183106,183475,183828,184174,184447,184794,182995,185056,185374,185669,186184,186640,187037,187384,187879,188405,188951,189351,189774,187308.6667,190248,190802,191323,191906,192607,193401,194059,194681,195294,195933,196547,197159,193663.3333,197787,198371,198844,199344,199860,200506,201231,201890,202384,202707,202913,203255,200757.6667,203512,203845,204204,204651,205078,205320,205474,205404,205027,204421,203509,202728,204431.0833,201360,199961,198263,197184,196218,195225,193918,192396,190774,188868,186268,182975,193617.5,179685,176850,174486,172115,169898,168068,166797,165800,164695,163447,162357,161671,168822.4167,160842,160133,159532,159595,159626,159370,157921,156007,153472,151479,149400,147623,156250,145728,144292,142742,141041,138747,136670,135060,134320,134081,133984,133677,132566,137742.3333,131827,131195,131931,132662,133664,134642,135676,136211,136088,136187,137008,138153,134603.6667,139558,141130,143021,144757,146666,148638,150643,152843,155136,157426,159378,161377,150047.75,163032,164522,165660,166817,167875,168772,169762,170524,171298,172011,172873,173813,168913.25,174724,175548,176213,177076,178220,179463,180290,181059,181873,182770,183725,184711,179639.3333,185915,187077,188452,189888,191149,191978,192543,193068,193589,194572,195799,197524,191796.1667,198767,200120,201165,202386,203610,204997,206449,207619,209208,210743,212569,214492,206010.4167,216587,218623,220071,221458,222794,224238,225756,227286,228990,230735,232379,233889,225233.8333,235018,236118,237276,238519,239534,239939,240430,241142,242123,242925,243691,244783,240124.8333,245956,247448,248519,249585,250120,250984,252356,254488,257205,260188,263319,266677,253903.75,270026,273967,277963,282768,288208,295014,302407,309866,316952,324392,331958,339799,301110,347293,354110,361285,368733,375982,381361,364794
10,"Boston, MA",MA,234051,235356,236623,238847,241059,243430,246536,250203,254113,258126,262083,266125,247212.6667,269576,272676,275750,279090,282328,285583,288953,292582,296146,300137,303922,307274,287834.75,309661,311845,314233,316806,319370,321957,324797,328014,331669,336486,341070,345351,325104.9167,348417,351634,355043,358809,362316,365145,366798,368518,370564,373045,375586,378058,364494.4167,380599,383285,386075,389063,391772,394234,396739,399306,402661,405945,409198,411635,395876,413853,416992,420059,423545,426307,427594,428331,428150,429437,430323,431109,430625,425527.0833,430109,428731,427806,427054,426304,425041,422179,419615,416326,413569,410438,408289,421288.4167,406885,405897,405214,404315,403389,402059,400535,399085,397626,395722,393633,391535,400491.25,389552,387167,385006,382952,381295,379417,377204,374822,371982,368748,365737,363036,377243.1667,361102,359188,356777,354979,354032,354028,353905,353549,353102,352749,352873,354024,355025.6667,355544,357274,358471,359651,360307,360724,360387,359710,357701,355862,354165,353830,357802.1667,353359,352184,350367,349173,348130,347865,346744,345609,343730,341893,340188,339040,346523.5,338025,337752,338192,339160,340176,340707,341530,342080,342556,343661,345498,347991,341444,349276,351885,355029,359427,362679,364950,366922,369159,372269,375098,377372,379037,365258.5833,380853,382265,383917,385920,387952,389744,390880,391635,391769,391492,391844,393576,388487.25,396648,399769,401923,402543,403601,404723,406869,408464,409971,411689,413278,414439,406159.75,416548,418722,421384,423858,426804,429202,430150,430631,432402,434169,437054,438941,428322.0833,440947,442361,444453,447249,449892,452555,455424,456947,458946,460544,463805,466053,453264.6667,468795,471417,474960,477618,480120,482121,483706,485024,485832,487328,488394,489818,481261.0833,491183,492050,491684,490838,490265,490729,490865,491591,492973,494395,495676,497185,492452.8333,499843,501940,504555,506026,507110,506855,508669,513756,520394,527706,534409,541302,514380.4167,546900,553122,558413,564578,571872,581946,591912,599910,604952,609550,613899,618764,584651.5,624260,631495,639975,649831,657835,663494,644481.6667
