SizeRank,RegionName,StateName,2000,Median_Income,2001,Median_Income,2002,Median_Income,2003,Median_Income,2004,Median_Income,2005,Median_Income,2006,Median_Income,2007,Median_Income,2008,Median_Income,2009,Median_Income,2010,Median_Income,2011,Median_Income,2012,Median_Income,2013,Median_Income,2014,Median_Income,2015,Median_Income,2016,Median_Income,2017,Median_Income,2018,Median_Income,2019,Median_Income,2020,Median_Income
22,Alabama,AL,103148.75,35424.00,107313.58,35160.00,110083.00,37603.00,113333.92,37255.00,117334.08,36629.00,123117.75,37150.00,132692.92,37952.00,138655.42,42212.00,137758.92,44476.00,132370.33,39980.00,126989.75,40933.00,121019.25,42590.00,118921.67,43464.00,120395.50,41381.00,122718.50,42278.00,125482.33,44509.00,128569.42,47221.00,132678.00,51113.00,138818.25,51113.00,145619.08,56200.00,155009.83,54393.00
46,Alaska,AK,131953.67,52847.00,152513.67,57363.00,165039.00,52774.00,173473.42,51837.00,186998.58,55063.00,204210.42,55891.00,221970.25,56418.00,235107.33,62993.00,239729.83,63989.00,239287.67,61604.00,240032.83,57848.00,237051.08,57431.00,240389.42,63648.00,246822.50,61137.00,254359.25,67629.00,262664.67,75112.00,267407.92,75723.00,268502.50,72231.00,270301.58,72231.00,285764.36,78394.00,290507.00,74476.00
15,Arizona,AZ,140373.58,39783.00,148184.33,42704.00,155758.42,39734.00,164762.08,41166.00,179821.30,43846.00,233848.83,45245.00,284848.00,46657.00,272677.92,47215.00,226473.83,46914.00,175837.08,45739.00,158891.58,46896.00,140843.25,48621.00,150278.50,47044.00,177180.75,50602.00,192510.67,49254.00,201532.25,52248.00,214525.25,57100.00,228748.75,61125.00,246023.00,61125.00,261280.17,70674.00,286914.50,66628.00
31,Arkansas,AR,80881.67,29697.00,84591.75,33339.00,87109.00,32387.00,90835.58,32002.00,95861.33,34984.00,102936.75,36658.00,109915.17,37057.00,112757.83,40795.00,112393.25,39586.00,108670.17,36538.00,107048.33,38587.00,104010.50,41302.00,104882.92,39018.00,107292.25,39919.00,108914.42,44922.00,111501.67,42798.00,115201.67,45907.00,119884.08,48829.00,125388.83,48829.00,130634.00,54539.00,136170.92,50540.00
0,California,CA,213105.42,46816.00,243172.00,47262.00,273818.67,47437.00,319345.17,49300.00,388737.75,49222.00,473192.08,51755.00,519554.25,55319.00,498823.17,55734.00,408819.42,57014.00,333510.25,56134.00,330661.92,54283.00,312302.42,53367.00,310043.50,57020.00,368782.08,57528.00,416937.33,60487.00,439917.58,63636.00,470662.92,66637.00,501841.92,69759.00,541072.92,69759.00,551136.00,78105.00,580133.83,77358.00
21,Colorado,CO,195650.17,48240.00,218944.00,49397.00,230830.67,48294.00,235327.92,49940.00,240208.08,50886.00,247158.33,50449.00,252850.50,55697.00,253418.33,61141.00,245439.92,60943.00,238108.25,55930.00,236130.67,60233.00,227008.75,58629.00,231041.50,57255.00,249773.67,63371.00,269449.33,60940.00,298142.67,66596.00,330176.75,70566.00,359251.00,74172.00,386961.33,74172.00,403891.83,72499.00,422151.33,82611.00
28,Connecticut,CT,180053.00,50172.00,195869.92,53347.00,216505.83,53387.00,242775.17,54965.00,271638.17,55100.00,305325.92,56835.00,327796.75,62404.00,325662.50,64141.00,306444.67,64682.00,282713.42,64851.00,271251.33,65998.00,255717.67,65415.00,240683.50,64247.00,244972.92,67781.00,247212.33,70161.00,245333.42,72889.00,245276.33,75923.00,251242.33,72780.00,257977.67,72780.00,261088.00,87291.00,270228.20,79043.00
44,Delaware,DE,156262.00,50365.00,165562.42,49602.00,176987.83,49650.00,193704.17,49019.00,216564.42,48049.00,250274.00,51235.00,277211.00,52438.00,283683.58,54589.00,272809.92,50702.00,254126.25,52114.00,245521.25,55214.00,229646.92,54660.00,217454.58,48972.00,216818.42,52219.00,226379.83,57522.00,233140.75,57756.00,240982.17,58046.00,247470.92,62318.00,256844.83,62318.00,263923.92,74194.00,272280.08,69132.00
49,District of Columbia,DC,201678.50,41222.00,220088.92,41169.00,252758.08,39070.00,295910.92,45044.00,347268.08,43451.00,419007.50,44993.00,464395.92,48477.00,463933.08,50783.00,451857.33,55590.00,428320.67,53141.00,427800.83,56928.00,423699.42,55251.00,433393.92,65246.00,479473.83,60675.00,528392.17,68277.00,536182.42,70071.00,559512.17,70982.00,586267.17,83382.00,608188.75,83382.00,633390.25,93111.00,649736.42,88311.00
3,Florida,FL,119305.33,38856.00,129241.00,36421.00,142425.00,38024.00,158976.58,38972.00,182024.42,40535.00,225158.83,42990.00,271346.08,45676.00,262601.08,45794.00,217620.25,44857.00,173159.00,45631.00,156990.25,44066.00,142541.75,45105.00,142134.92,46071.00,158766.92,47886.00,177283.33,46140.00,189781.83,48825.00,205088.25,51176.00,220356.67,53681.00,235672.75,53681.00,246813.33,58368.00,258728.67,57435.00
