SizeRank,RegionName,StateName,Year,Average House Price,Median Income,Ratio
22,Alabama,AL,2000,103148.75,35424,2.91
46,Alaska,AK,2000,131953.67,52847,2.50
15,Arizona,AZ,2000,140373.58,39783,3.53
31,Arkansas,AR,2000,80881.67,29697,2.72
0,California,CA,2000,213105.42,46816,4.55
21,Colorado,CO,2000,195650.17,48240,4.06
28,Connecticut,CT,2000,180053,50172,3.59
44,Delaware,DE,2000,156262,50365,3.10
49,District of Columbia,DC,2000,201678.5,41222,4.89
3,Florida,FL,2000,119305.33,38856,3.07
8,Georgia,GA,2000,135797.33,41901,3.24
39,Hawaii,HI,2000,228851.08,51546,4.44
38,Idaho,ID,2000,126867.17,37611,3.37
4,Illinois,IL,2000,152867.5,46064,3.32
14,Indiana,IN,2000,103960.5,40865,2.54
29,Iowa,IA,2000,96463.25,40991,2.35
32,Kansas,KS,2000,95515.5,41059,2.33
25,Kentucky,KY,2000,93669.67,36265,2.58
24,Louisiana,LA,2000,107814.25,30718,3.51
40,Maine,ME,2000,120643.67,37266,3.24
18,Maryland,MD,2000,166774,54535,3.06
13,Massachusetts,MA,2000,219922.83,46753,4.70
7,Michigan,MI,2000,126816.25,45512,2.79
20,Minnesota,MN,2000,142719.08,54251,2.63
30,Mississippi,MS,2000,85235.33,34299,2.49
17,Missouri,MO,2000,103562.08,45097,2.30
43,Montana,MT,2000,,32777,
37,Nebraska,NE,2000,118929.25,41750,2.85
34,Nevada,NV,2000,167406.08,45758,3.66
41,New Hampshire,NH,2000,147343.17,50926,2.89
10,New Jersey,NJ,2000,193474.17,50405,3.84
35,New Mexico,NM,2000,,35093,
2,New York,NY,2000,155873.33,40744,3.83
9,North Carolina,NC,2000,137401.33,38317,3.59
47,North Dakota,ND,2000,,35996,
6,Ohio,OH,2000,113323.08,42962,2.64
27,Oklahoma,OK,2000,81179.08,32432,2.50
26,Oregon,OR,2000,164983.25,42499,3.88
5,Pennsylvania,PA,2000,108924,42176,2.58
42,Rhode Island,RI,2000,151552.33,42197,3.59
23,South Carolina,SC,2000,125804.25,37570,3.35
45,South Dakota,SD,2000,115283.42,36475,3.16
16,Tennessee,TN,2000,115592.42,34096,3.39
1,Texas,TX,2000,115486.5,38609,2.99
33,Utah,UT,2000,184213.08,47550,3.87
48,Vermont,VT,2000,130625.08,39594,3.30
11,Virginia,VA,2000,139729.92,47163,2.96
12,Washington,WA,2000,179606.08,42525,4.22
36,West Virginia,WV,2000,69740.17,29411,2.37
19,Wisconsin,WI,2000,121000.92,45088,2.68
50,Wyoming,WY,2000,,39629,
22,Alabama,AL,2001,107313.58,35160,3.05
46,Alaska,AK,2001,152513.67,57363,2.66
15,Arizona,AZ,2001,148184.33,42704,3.47
31,Arkansas,AR,2001,84591.75,33339,2.54
0,California,CA,2001,243172,47262,5.15
21,Colorado,CO,2001,218944,49397,4.43
28,Connecticut,CT,2001,195869.92,53347,3.67
44,Delaware,DE,2001,165562.42,49602,3.34
49,District of Columbia,DC,2001,220088.92,41169,5.35
3,Florida,FL,2001,129241,36421,3.55
8,Georgia,GA,2001,145643.75,42576,3.42
39,Hawaii,HI,2001,242283.33,47439,5.11
38,Idaho,ID,2001,131585.33,38241,3.44
4,Illinois,IL,2001,164887.58,46171,3.57
14,Indiana,IN,2001,107560.33,40379,2.66
29,Iowa,IA,2001,100926.83,40976,2.46
32,Kansas,KS,2001,101356.17,41415,2.45
25,Kentucky,KY,2001,98720,38437,2.57
24,Louisiana,LA,2001,113514.17,33322,3.41
40,Maine,ME,2001,133916.08,36612,3.66
18,Maryland,MD,2001,177185,53530,3.31
13,Massachusetts,MA,2001,253743.92,52253,4.86
7,Michigan,MI,2001,135210.42,45047,3.00
20,Minnesota,MN,2001,161917.42,52681,3.07
30,Mississippi,MS,2001,89611.25,30161,2.97
17,Missouri,MO,2001,110852.17,41339,2.68
43,Montana,MT,2001,,32126,
37,Nebraska,NE,2001,113272.83,43611,2.60
34,Nevada,NV,2001,176802.25,45403,3.89
41,New Hampshire,NH,2001,168828.17,51331,3.29
10,New Jersey,NJ,2001,213905.75,51771,4.13
35,New Mexico,NM,2001,,33124,
2,New York,NY,2001,168666,42114,4.00
9,North Carolina,NC,2001,142788.25,38162,3.74
47,North Dakota,ND,2001,,35793,
6,Ohio,OH,2001,118341.83,41785,2.83
27,Oklahoma,OK,2001,85268.75,35609,2.39
26,Oregon,OR,2001,171096.92,41273,4.15
5,Pennsylvania,PA,2001,114737.42,43499,2.64
42,Rhode Island,RI,2001,167871.25,45723,3.67
23,South Carolina,SC,2001,131546.17,37736,3.49
45,South Dakota,SD,2001,117191.17,39671,2.95
16,Tennessee,TN,2001,119505.58,35783,3.34
1,Texas,TX,2001,117017.5,40860,2.86
33,Utah,UT,2001,189955.08,47342,4.01
48,Vermont,VT,2001,141208.5,40794,3.46
11,Virginia,VA,2001,151469,50241,3.01
12,Washington,WA,2001,188802,42490,4.44
36,West Virginia,WV,2001,73644.42,29673,2.48
19,Wisconsin,WI,2001,127737.25,45346,2.82
50,Wyoming,WY,2001,,39719,
22,Alabama,AL,2002,110083,37603,2.93
46,Alaska,AK,2002,165039,52774,3.13
15,Arizona,AZ,2002,155758.42,39734,3.92
31,Arkansas,AR,2002,87109,32387,2.69
0,California,CA,2002,273818.67,47437,5.77
21,Colorado,CO,2002,230830.67,48294,4.78
28,Connecticut,CT,2002,216505.83,53387,4.06
44,Delaware,DE,2002,176987.83,49650,3.56
49,District of Columbia,DC,2002,252758.08,39070,6.47
3,Florida,FL,2002,142425,38024,3.75
8,Georgia,GA,2002,152479,42939,3.55
39,Hawaii,HI,2002,261020.5,47303,5.52
38,Idaho,ID,2002,135494.83,37715,3.59
4,Illinois,IL,2002,177309,42710,4.15
14,Indiana,IN,2002,109275.17,41047,2.66
29,Iowa,IA,2002,105124.42,41049,2.56
32,Kansas,KS,2002,105152.92,42619,2.47
25,Kentucky,KY,2002,102118.08,36762,2.78
24,Louisiana,LA,2002,118512.27,34008,3.48
40,Maine,ME,2002,149892.83,36853,4.07
18,Maryland,MD,2002,195079.42,56407,3.46
13,Massachusetts,MA,2002,288843.17,49855,5.79
7,Michigan,MI,2002,141178.25,42715,3.31
20,Minnesota,MN,2002,178937.33,54622,3.28
30,Mississippi,MS,2002,92161.08,30882,2.98
17,Missouri,MO,2002,118373.67,42776,2.77
43,Montana,MT,2002,,34835,
37,Nebraska,NE,2002,113904.5,42796,2.66
34,Nevada,NV,2002,188103.42,44958,4.18
41,New Hampshire,NH,2002,191303.5,55321,3.46
10,New Jersey,NJ,2002,240954.08,54568,4.42
35,New Mexico,NM,2002,139290.89,35457,3.93
2,New York,NY,2002,183997.33,41966,4.38
9,North Carolina,NC,2002,145845.42,36515,3.99
47,North Dakota,ND,2002,,36200,
6,Ohio,OH,2002,122199.67,42684,2.86
27,Oklahoma,OK,2002,88466.92,36458,2.43
26,Oregon,OR,2002,178406.33,41802,4.27
5,Pennsylvania,PA,2002,121856.92,42498,2.87
42,Rhode Island,RI,2002,195377.83,42417,4.61
23,South Carolina,SC,2002,135081.33,37812,3.57
45,South Dakota,SD,2002,120688.42,37873,3.19
16,Tennessee,TN,2002,122323.08,37030,3.30
1,Texas,TX,2002,119713,40149,2.98
33,Utah,UT,2002,191196.25,47861,3.99
48,Vermont,VT,2002,153341.58,42999,3.57
11,Virginia,VA,2002,165995.75,49631,3.34
12,Washington,WA,2002,196842.58,45183,4.36
36,West Virginia,WV,2002,76084.5,29359,2.59
19,Wisconsin,WI,2002,134758.42,45903,2.94
50,Wyoming,WY,2002,144591.22,39763,3.64
22,Alabama,AL,2003,113333.92,37255,3.04
46,Alaska,AK,2003,173473.42,51837,3.35
15,Arizona,AZ,2003,164762.08,41166,4.00
31,Arkansas,AR,2003,90835.58,32002,2.84
0,California,CA,2003,319345.17,49300,6.48
21,Colorado,CO,2003,235327.92,49940,4.71
28,Connecticut,CT,2003,242775.17,54965,4.42
44,Delaware,DE,2003,193704.17,49019,3.95
49,District of Columbia,DC,2003,295910.92,45044,6.57
3,Florida,FL,2003,158976.58,38972,4.08
8,Georgia,GA,2003,157010.42,42438,3.70
39,Hawaii,HI,2003,298025,51834,5.75
38,Idaho,ID,2003,138987.58,42372,3.28
4,Illinois,IL,2003,190191.42,45153,4.21
14,Indiana,IN,2003,111030.08,42425,2.62
29,Iowa,IA,2003,109430.5,41384,2.64
32,Kansas,KS,2003,107798.58,44232,2.44
25,Kentucky,KY,2003,105377.42,36936,2.85
24,Louisiana,LA,2003,122719.92,33507,3.66
40,Maine,ME,2003,167175.58,37113,4.50
18,Maryland,MD,2003,221672.33,52314,4.24
13,Massachusetts,MA,2003,327722.75,50955,6.43
7,Michigan,MI,2003,145827.08,45022,3.24
20,Minnesota,MN,2003,194384.17,52823,3.68
30,Mississippi,MS,2003,94940.92,32728,2.90
17,Missouri,MO,2003,125719.83,43762,2.87
43,Montana,MT,2003,,34108,
37,Nebraska,NE,2003,118823.42,43974,2.70
34,Nevada,NV,2003,204747.25,45184,4.53
41,New Hampshire,NH,2003,217110.42,55567,3.91
10,New Jersey,NJ,2003,278151.75,56045,4.96
35,New Mexico,NM,2003,142932.75,35105,4.07
2,New York,NY,2003,203462.83,42788,4.76
9,North Carolina,NC,2003,148639.25,37279,3.99
47,North Dakota,ND,2003,,40410,
