Rank,Region Name,State Name,Latitude,Longitude,Year,Average House Price
1,"New York, NY",NY,40.712776,-74.005974,2000,236827.08
1,"New York, NY",NY,40.712776,-74.005974,2001,266033.25
1,"New York, NY",NY,40.712776,-74.005974,2002,299735.42
1,"New York, NY",NY,40.712776,-74.005974,2003,343624.08
1,"New York, NY",NY,40.712776,-74.005974,2004,387843.25
1,"New York, NY",NY,40.712776,-74.005974,2005,442347.0
1,"New York, NY",NY,40.712776,-74.005974,2006,483268.58
1,"New York, NY",NY,40.712776,-74.005974,2007,476056.83
1,"New York, NY",NY,40.712776,-74.005974,2008,452438.42
1,"New York, NY",NY,40.712776,-74.005974,2009,415226.75
1,"New York, NY",NY,40.712776,-74.005974,2010,403846.42
1,"New York, NY",NY,40.712776,-74.005974,2011,390579.92
1,"New York, NY",NY,40.712776,-74.005974,2012,377261.92
1,"New York, NY",NY,40.712776,-74.005974,2013,385477.92
1,"New York, NY",NY,40.712776,-74.005974,2014,404062.33
1,"New York, NY",NY,40.712776,-74.005974,2015,414246.67
1,"New York, NY",NY,40.712776,-74.005974,2016,425859.33
1,"New York, NY",NY,40.712776,-74.005974,2017,445336.33
1,"New York, NY",NY,40.712776,-74.005974,2018,469554.75
1,"New York, NY",NY,40.712776,-74.005974,2019,481806.58
1,"New York, NY",NY,40.712776,-74.005974,2020,493600.83
1,"New York, NY",NY,40.712776,-74.005974,2021,550044.17
1,"New York, NY",NY,40.712776,-74.005974,2022,598261.17
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2000,241943.75
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2001,268873.58
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2002,306142.75
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2003,364845.33
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2004,457496.83
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2005,553647.42
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2006,621376.0
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2007,608126.17
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2008,507413.08
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2009,430364.67
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2010,430944.42
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2011,407335.67
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2012,401905.33
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2013,471110.75
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2014,516913.25
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2015,542728.08
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2016,579046.5
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2017,615096.67
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2018,657880.83
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2019,665844.5
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2020,702148.0
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2021,807171.17
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,2022,915928.67
3,"Chicago, IL",IL,41.878113,-87.629799,2000,176549.08
3,"Chicago, IL",IL,41.878113,-87.629799,2001,191223.17
3,"Chicago, IL",IL,41.878113,-87.629799,2002,205865.08
3,"Chicago, IL",IL,41.878113,-87.629799,2003,220932.25
3,"Chicago, IL",IL,41.878113,-87.629799,2004,237636.92
3,"Chicago, IL",IL,41.878113,-87.629799,2005,258311.83
3,"Chicago, IL",IL,41.878113,-87.629799,2006,275483.67
3,"Chicago, IL",IL,41.878113,-87.629799,2007,277622.17
3,"Chicago, IL",IL,41.878113,-87.629799,2008,257697.44
3,"Chicago, IL",IL,41.878113,-87.629799,2009,228436.0
3,"Chicago, IL",IL,41.878113,-87.629799,2010,212370.75
3,"Chicago, IL",IL,41.878113,-87.629799,2011,192661.75
3,"Chicago, IL",IL,41.878113,-87.629799,2012,180019.25
3,"Chicago, IL",IL,41.878113,-87.629799,2013,187844.08
3,"Chicago, IL",IL,41.878113,-87.629799,2014,201624.58
3,"Chicago, IL",IL,41.878113,-87.629799,2015,208050.92
3,"Chicago, IL",IL,41.878113,-87.629799,2016,216025.25
3,"Chicago, IL",IL,41.878113,-87.629799,2017,227980.08
3,"Chicago, IL",IL,41.878113,-87.629799,2018,237980.75
3,"Chicago, IL",IL,41.878113,-87.629799,2019,243034.67
3,"Chicago, IL",IL,41.878113,-87.629799,2020,248356.33
3,"Chicago, IL",IL,41.878113,-87.629799,2021,276496.33
3,"Chicago, IL",IL,41.878113,-87.629799,2022,304300.5
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2000,132808.17
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2001,135011.17
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2002,138513.67
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2003,142382.5
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2004,150501.18
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2005,155424.17
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2006,158789.08
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2007,161614.42
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2008,157849.58
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2009,154104.0
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2010,153334.33
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2011,147387.08
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2012,148654.17
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2013,157979.42
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2014,170512.75
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2015,186674.5
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2016,206421.42
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2017,226777.92
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2018,245533.25
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2019,256418.25
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2020,266272.83
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2021,311802.92
4,"Dallas-Fort Worth, TX",TX,32.7079,-96.9209,2022,376481.5
5,"Philadelphia, PA",PA,39.952583,-75.165222,2000,133527.17
5,"Philadelphia, PA",PA,39.952583,-75.165222,2001,141721.5
5,"Philadelphia, PA",PA,39.952583,-75.165222,2002,154170.67
5,"Philadelphia, PA",PA,39.952583,-75.165222,2003,173339.83
5,"Philadelphia, PA",PA,39.952583,-75.165222,2004,196947.75
5,"Philadelphia, PA",PA,39.952583,-75.165222,2005,226399.83
5,"Philadelphia, PA",PA,39.952583,-75.165222,2006,250232.67
5,"Philadelphia, PA",PA,39.952583,-75.165222,2007,254649.0
5,"Philadelphia, PA",PA,39.952583,-75.165222,2008,247900.5
5,"Philadelphia, PA",PA,39.952583,-75.165222,2009,234594.67
5,"Philadelphia, PA",PA,39.952583,-75.165222,2010,230240.83
5,"Philadelphia, PA",PA,39.952583,-75.165222,2011,217050.17
5,"Philadelphia, PA",PA,39.952583,-75.165222,2012,208110.75
5,"Philadelphia, PA",PA,39.952583,-75.165222,2013,210178.17
5,"Philadelphia, PA",PA,39.952583,-75.165222,2014,214962.58
5,"Philadelphia, PA",PA,39.952583,-75.165222,2015,217137.0
5,"Philadelphia, PA",PA,39.952583,-75.165222,2016,220698.5
5,"Philadelphia, PA",PA,39.952583,-75.165222,2017,229037.92
5,"Philadelphia, PA",PA,39.952583,-75.165222,2018,239913.67
5,"Philadelphia, PA",PA,39.952583,-75.165222,2019,248964.58
5,"Philadelphia, PA",PA,39.952583,-75.165222,2020,261152.33
5,"Philadelphia, PA",PA,39.952583,-75.165222,2021,298964.0
5,"Philadelphia, PA",PA,39.952583,-75.165222,2022,327192.67
6,"Houston, TX",TX,29.760427,-95.369804,2000,127188.33
6,"Houston, TX",TX,29.760427,-95.369804,2001,128732.92
6,"Houston, TX",TX,29.760427,-95.369804,2002,132013.5
6,"Houston, TX",TX,29.760427,-95.369804,2003,136298.0
6,"Houston, TX",TX,29.760427,-95.369804,2004,144172.73
6,"Houston, TX",TX,29.760427,-95.369804,2005,150766.58
6,"Houston, TX",TX,29.760427,-95.369804,2006,153680.58
6,"Houston, TX",TX,29.760427,-95.369804,2007,158722.58
6,"Houston, TX",TX,29.760427,-95.369804,2008,157659.67
6,"Houston, TX",TX,29.760427,-95.369804,2009,153815.92
6,"Houston, TX",TX,29.760427,-95.369804,2010,153467.08
6,"Houston, TX",TX,29.760427,-95.369804,2011,146966.25
6,"Houston, TX",TX,29.760427,-95.369804,2012,146784.42
6,"Houston, TX",TX,29.760427,-95.369804,2013,157187.25
6,"Houston, TX",TX,29.760427,-95.369804,2014,172962.83
