Year,Total Number of households,One,Two,Three,Four,Five,Six,Seven or More,Percentage of households with one persons,Percentage of households with two persons,Percentage of households with three persons,Percentage of households with four persons,Percentage of households with five persons,Percentage of households with six persons,Percentage of households with seven or more persons,Average number of people per household
1960,52799,6917,14678,9979,9293,6072,3010,2851,13.10,27.80,18.90,17.60,11.50,5.70,5.40,2.51
1961,53557,7112,15185,9780,9390,6052,3085,2953,13.28,28.35,18.26,17.53,11.30,5.76,5.51,2.53
1962,54764,7473,15461,10077,9347,6016,3368,3022,13.65,28.23,18.40,17.07,10.99,6.15,5.52,2.52
1963,55270,7501,15279,9989,9445,6240,3473,3342,13.57,27.64,18.07,17.09,11.29,6.28,6.05,2.53
1964,56149,7821,15622,10034,9565,6328,3373,3405,13.93,27.82,17.87,17.04,11.27,6.01,6.06,2.54
1965,57436,8631,16119,10263,9269,6313,3327,3514,15.03,28.06,17.87,16.14,10.99,5.79,6.12,2.53
1966,58406,9093,16679,9993,9465,6257,3465,3465,15.57,28.56,17.11,16.21,10.71,5.93,5.93,2.54
1967,59236,9200,16770,10403,9559,6276,3491,3550,15.53,28.31,17.56,16.14,10.59,5.89,5.99,2.54
1968,60813,9802,17377,10577,9623,6319,3627,3488,16.12,28.57,17.39,15.82,10.39,5.96,5.74,2.54
1969,62214,10401,18034,10769,9778,6387,3557,3288,16.72,28.99,17.31,15.72,10.27,5.72,5.28,2.55
1970,63401,10851,18333,10949,9991,6548,3534,3195,17.11,28.92,17.27,15.76,10.33,5.57,5.04,2.56
1971,64778,11446,18892,11071,10059,6640,3435,3234,17.67,29.16,17.09,15.53,10.25,5.30,4.99,2.58
1972,66676,12189,19482,11542,10679,6431,3374,2979,18.28,29.22,17.31,16.02,9.65,5.06,4.47,2.59
1973,68251,12635,20632,11804,10739,6426,3245,2769,18.51,30.23,17.29,15.73,9.42,4.75,4.06,2.57
1974,69859,13368,21495,11913,10900,6469,3063,2651,19.14,30.77,17.05,15.60,9.26,4.38,3.79,2.56
1975,71120,13939,21753,12384,11103,6399,3059,2484,19.60,30.59,17.41,15.61,9.00,4.30,3.49,2.56
1976,72867,14983,22321,12520,11407,6268,3001,2367,20.56,30.63,17.18,15.65,8.60,4.12,3.25,2.57
